,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
131,Tenacious D in the Pick of Destiny,R,93,6.8,2006,55
132,Ema,,107,6.8,2019,72
133,Save the Last Dance,PG-13,112,6.2,2001,53
134,What's Love Got to Do with It,R,118,7.3,1993,
135,Nashville,R,160,7.7,1975,96
136,Confessions of a Teenage Drama Queen,PG,89,4.6,2004,33
137,Music and Lyrics,PG-13,104,6.5,2007,59
138,Pirate Radio,R,117,7.4,2009,58
139,Once,R,86,7.8,2007,88
140,Love & Mercy,PG-13,121,7.4,2014,80
141,Sing 2,,,,2021,
142,Fantasia,G,125,7.8,1940,96
143,Detroit Rock City,R,95,6.9,1999,33
144,The Commitments,R,118,7.6,1991,73
145,"New York, New York",PG,155,6.7,1977,64
146,Three Colors: Blue,R,94,7.9,1993,85
147,Josie and the Pussycats,PG-13,98,5.4,2001,47
148,Crazy Heart,R,112,7.2,2009,83
149,Up in Smoke,R,86,7.0,1978,57
150,The Red Shoes,Not Rated,135,8.2,1948,
151,All Eyez on Me,R,139,5.8,2017,38
152,The Producers,PG,88,7.6,1967,96
153,54,R,93,5.9,1998,33
154,Step Up Revolution,PG-13,99,6.4,2012,43
155,The Rocker,PG-13,102,6.2,2008,53
156,Grizzly II: Revenge,Not Rated,97,3.5,1983,
157,Strictly Ballroom,PG,94,7.1,1992,72
158,Hannah Montana: The Movie,G,102,4.4,2009,47
159,Mr. Holland's Opus,PG,143,7.3,1995,59
160,Staying Alive,PG,93,4.7,1983,23
161,Rock Star,R,105,6.3,2001,54
162,Zenek,,115,1.3,2020,
163,Nick and Norah's Infinite Playlist,PG-13,90,6.6,2008,64
164,Teen Spirit,PG-13,93,6.1,2018,57
165,To Rome with Love,R,112,6.3,2012,54
166,Blue Night,R,91,4.3,2018,45
167,Nowhere Boy,R,98,7.1,2009,67
168,Dance Flick,PG-13,83,3.5,2009,40
169,Hustle & Flow,R,116,7.3,2005,68
170,The Lizzie McGuire Movie,PG,94,5.5,2003,56
171,Drumline,PG-13,118,5.8,2002,63
172,Frank,R,95,7.0,2014,75
173,Running on Empty,PG-13,116,7.7,1988,67
174,Behind the Candelabra,TV-MA,118,7.0,2013,
175,Honey,PG-13,94,5.3,2003,37
176,The Thing Called Love,PG-13,116,6.4,1993,
177,The Double Life of Véronique,R,98,7.8,1991,86
178,Girls Just Want to Have Fun,PG,90,6.0,1985,56
179,Get Rich or Die Tryin',R,117,5.3,2005,45
