,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
138,Running with the Devil,R,100,5.4,2019,42
139,Heat,R,170,8.2,1995,76
140,Logan,R,137,8.1,2017,77
141,Key Largo,Not Rated,100,7.8,1948,
142,Jackie Brown,R,154,7.5,1997,64
143,Split,PG-13,117,7.3,2016,62
144,Climax,R,97,7.1,2018,67
145,Under the Silver Lake,R,139,6.5,2018,60
146,Trance,,170,7.5,2020,
147,Donnie Darko,R,113,8.0,2001,88
148,The Hunger Games: Catching Fire,PG-13,146,7.5,2013,76
149,Sicario,R,121,7.6,2015,82
150,Triple Frontier,R,125,6.5,2019,61
151,Upgrade,R,100,7.5,2018,67
152,Eagle Eye,PG-13,118,6.6,2008,43
153,Antebellum,,,,2020,
154,Seberg,R,102,5.0,2019,54
155,The Mule,R,116,7.0,2018,58
156,Aliens,R,137,8.3,1986,84
157,Mandy,Not Rated,121,6.6,2018,81
158,Widows,R,129,6.9,2018,84
159,The Conjuring: The Devil Made Me Do It,,,,2020,
160,Escape from Pretoria,PG-13,106,,2020,
161,The Hummingbird Project,R,111,6.2,2018,58
162,A Serbian Film,NC-17,104,5.1,2010,
163,Bad Times at the El Royale,R,141,7.1,2018,60
164,The Lovely Bones,PG-13,135,6.7,2009,42
165,The Prodigy,R,92,5.8,2019,45
166,The Last Stand,R,107,6.3,2013,54
167,Lock and Key,,,,,
168,Freaks,R,105,6.7,2018,63
169,The Invisible Guest,,106,8.1,2016,
170,Looper,R,113,7.4,2012,84
171,Serenity,R,106,5.3,2019,37
172,San Andreas,PG-13,114,6.0,2015,43
173,The Nightingale,R,136,7.3,2018,77
174,Legend,R,132,6.9,2015,55
175,Argo,R,120,7.7,2012,86
176,The Rhythm Section,R,109,5.3,2020,45
177,Star Trek Beyond,PG-13,122,7.1,2016,68
178,Night Hunter,R,98,5.8,2018,31
179,Fifty Shades Freed,R,105,4.5,2018,31
180,Cold Pursuit,R,119,6.2,2019,57
