,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
132,Drums Along the Mohawk,Approved,104,7.1,1939,
133,Gandhi,PG,191,8.0,1982,79
134,Free State of Jones,R,139,6.9,2016,53
135,The Other Boleyn Girl,PG-13,115,6.7,2008,50
136,Red Tails,PG-13,125,5.9,2012,46
137,Mientras dure la guerra,,107,7.1,2019,55
138,Exodus,Approved,208,6.7,1960,
139,Pride,R,119,7.8,2014,79
140,Anna and the King,PG-13,148,6.7,1999,56
141,Cleopatra,G,192,7.0,1963,60
142,Child 44,R,137,6.5,2015,41
143,Capote,R,114,7.3,2005,88
144,Amistad,R,155,7.3,1997,63
145,The Stanford Prison Experiment,R,122,6.9,2015,67
146,The 12th Man,Unrated,135,7.4,2017,70
147,The Birth of a Nation,TV-PG,195,6.4,1915,
148,"10,000 BC",PG-13,109,5.1,2008,34
149,The Killing Fields,R,141,7.8,1984,76
150,Ying xiong,PG-13,107,7.9,2002,85
151,Ip Man 2,R,108,7.5,2010,67
152,Colette,R,111,6.7,2018,74
153,Across the Universe,PG-13,133,7.3,2007,56
154,Serena,R,109,5.4,2014,36
155,The 13th Warrior,R,102,6.6,1999,42
156,Macbeth,R,113,6.6,2015,71
157,Letters from Iwo Jima,R,141,7.9,2006,89
158,The Finest Hours,PG-13,117,6.7,2016,58
159,Jackie,R,100,6.7,2016,81
160,The Vikings,Not Rated,116,7.1,1958,
161,Centurion,R,97,6.4,2010,62
162,Kesari,Not Rated,150,7.4,2019,
163,The Longest Day,G,178,7.8,1962,75
164,Beloved,R,172,6.0,1998,57
165,The Mission,PG,125,7.4,1986,55
166,Battle of Britain,G,132,7.0,1969,
167,All the President's Men,PG,138,8.0,1976,80
168,A Man for All Seasons,G,120,7.7,1966,72
169,Queen of the Desert,PG-13,128,5.7,2015,39
170,The Last King of Scotland,R,123,7.7,2006,74
171,The 33,PG-13,127,6.9,2015,55
172,Nixon,R,192,7.1,1995,66
173,The Front Runner,R,113,6.1,2018,61
174,Colonia,R,110,7.1,2015,33
175,"Lust, Caution",NC-17,157,7.5,2007,61
176,United 93,R,111,7.5,2006,90
177,Cinderella Man,PG-13,144,8.0,2005,69
178,Roosevelt,,,,,
179,Quest for Fire,R,100,7.3,1981,79
180,Gettysburg,PG,271,7.6,1993,
181,Andrei Rublev,R,205,8.2,1966,
182,Marshall,PG-13,118,7.2,2017,66
183,The St. Valentine's Day Massacre,Not Rated,100,6.7,1967,
184,The Glorias,,139,6.2,2020,69
185,Anthropoid,R,120,7.2,2016,59
186,6 Days,R,94,6.2,2017,36
187,The Bounty,PG,132,7.0,1984,62
188,Last Knights,R,115,6.2,2015,27
189,Pompeii,PG-13,105,5.5,2014,39
190,Tulip Fever,R,105,6.2,2017,38
191,The Queen,PG-13,103,7.3,2006,91
192,Frost/Nixon,R,122,7.7,2008,80
193,Invictus,PG-13,134,7.3,2009,74
194,The Wind Rises,PG-13,126,7.8,2013,83
195,The Young Victoria,PG,105,7.3,2009,64
196,World Trade Center,PG-13,129,5.9,2006,66
197,The Conspirator,PG-13,122,6.9,2010,55
198,The Crucible,PG-13,124,6.8,1996,
199,The Monuments Men,PG-13,118,6.1,2014,52
200,Viking,Not Rated,142,4.5,2016,
201,Rob Roy,R,139,6.9,1995,55
202,First They Killed My Father,TV-MA,136,7.2,2017,72
203,Ben-Hur,PG-13,123,5.7,2016,38
204,Flags of Our Fathers,R,135,7.1,2006,79
205,W.,PG-13,129,6.3,2008,56
206,1900,Unrated,317,7.7,1976,70
207,Medieval,,,,2020,
208,The Water Diviner,R,111,7.0,2014,50
209,Wild Nights with Emily,PG-13,84,5.9,2018,74
210,Mary Shelley,PG-13,120,6.4,2017,49
211,The Physician,R,155,7.2,2013,
212,History of the World: Part I,R,92,6.9,1981,47
213,Thirteen Days,PG-13,145,7.3,2000,67
214,Black Death,R,102,6.4,2010,71
215,Padmaavat,Not Rated,164,7.0,2018,63
216,The Devils,R,111,7.8,1971,49
217,The White Ribbon,R,144,7.8,2009,82
218,USS Indianapolis: Men of Courage,R,128,5.2,2016,30
219,The Captain,,118,7.4,2017,67
220,The Eagle,PG-13,114,6.2,2011,55
221,The Zookeeper's Wife,PG-13,127,7.0,2017,57
222,Kon-Tiki,PG-13,118,7.2,2012,62
223,Amundsen,,125,6.3,2019,
224,All Is True,PG-13,101,6.2,2018,59
225,Fellini - Satyricon,R,129,6.9,1969,
226,Sink the Bismarck!,Approved,97,7.1,1960,
227,Hey Ram,Not Rated,186,7.9,2000,
228,Zulu,Not Rated,138,7.7,1964,77
229,Breach,PG-13,110,7.0,2007,74
230,Throne of Blood,Not Rated,110,8.1,1957,
231,Evita,PG,135,6.3,1996,45
