,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
130,Guardians of the Galaxy Vol. 2,PG-13,136,7.6,2017,67
131,The Hustle,PG-13,93,5.4,2019,35
132,Clue,PG,94,7.3,1985,36
133,Free Guy,,,,2020,
134,Zombieland,R,88,7.6,2009,73
135,The Lobster,R,119,7.2,2015,82
136,About Time,R,123,7.8,2013,55
137,Peter Rabbit,PG,95,6.5,2018,51
138,Mamma Mia! Here We Go Again,PG-13,114,6.7,2018,60
139,Trolls World Tour,PG,,,2020,
140,Moonrise Kingdom,PG-13,94,7.8,2012,84
141,Scoob!,,,,2020,
142,Tropic Thunder,R,107,7.0,2008,71
143,Spycies,,99,5.1,2019,
144,Abominable,PG,97,7.0,2019,61
145,Mean Girls,PG-13,97,7.0,2004,66
146,The Sandlot,PG,101,7.8,1993,55
147,"Honey, I Shrunk the Kids",PG,93,6.3,1989,63
148,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,95,8.4,1964,97
149,Murder Mystery,PG-13,97,6.0,2019,38
150,Mary Poppins Returns,PG,130,6.7,2018,66
151,Tangled,PG,100,7.7,2010,71
152,The Dead Don't Die,R,104,5.5,2019,53
153,The Longest Yard,PG-13,113,6.4,2005,48
154,The Whistlers,,97,6.6,2019,74
155,The Spy Who Dumped Me,R,117,6.0,2018,52
156,Cars,G,117,7.1,2006,73
157,Superbad,R,113,7.6,2007,76
158,Charlie and the Chocolate Factory,PG,115,6.6,2005,72
159,Jexi,R,84,6.1,2019,39
160,Lady and the Tramp,PG,103,6.3,2019,48
161,Office Space,R,89,7.7,1999,68
162,Wedding Crashers,R,119,6.9,2005,64
163,Klaus,PG,96,8.2,2019,65
164,Happy Gilmore,PG-13,92,7.0,1996,31
165,Matilda,PG,102,6.9,1996,72
166,Ratatouille,G,111,8.0,2007,96
167,The Truman Show,PG,103,8.1,1998,90
168,Ace Ventura: Pet Detective,PG-13,86,6.9,1994,37
169,Jungle Cruise,,,,2020,
170,"Where'd You Go, Bernadette",PG-13,109,6.5,2019,51
171,The Man from U.N.C.L.E.,PG-13,116,7.3,2015,56
172,Pretty Woman,R,119,7.0,1990,51
173,Force Majeure,R,120,7.3,2014,87
174,My Hero Academia: Heroes Rising,PG-13,104,7.9,2019,
175,Toy Story 3,G,103,8.3,2010,92
176,The Hangover,R,100,7.7,2009,73
177,Terms of Endearment,PG,132,7.4,1983,79
178,Late Night,R,102,6.5,2019,70
179,Valentine's Day,PG-13,125,5.7,2010,34
180,Silver Linings Playbook,R,122,7.7,2012,81
181,Fast Times at Ridgemont High,R,90,7.2,1982,67
182,Emma,PG,120,6.6,1996,66
183,All Ladies Do It,Not Rated,93,5.3,1992,
184,American Made,R,115,7.1,2017,65
185,We're the Millers,R,110,7.0,2013,44
186,The King of Staten Island,R,,,2020,
