,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
116,How the Universe Works,TV-PG,60,9.0,10– ,
117,The Dissident,,119,8.9,2020,85
118,Lost Lives,,93,7.6,2019,
119,Super Size Me,PG,100,7.2,2004,73
120,Alone,,44,8.4,15– ,
121,The Irishman: In Conversation,TV-MA,23,7.4,2019,
122,Jackass: The Movie,R,87,6.6,2002,42
123,Catfish,PG-13,87,7.1,2010,65
124,Dear Zachary: A Letter to a Son About His Father,Not Rated,95,8.6,2008,82
125,Autopsy: The Last Hours of,,45,7.7,14– ,
126,After Porn Ends 2,TV-MA,90,5.4,2017,
127,13th,TV-MA,100,8.2,2016,88
128,"Playboy: No Boys Allowed, 100% Girls 2",Unrated,55,6.7,ideo,
129,Inside Job,PG-13,109,8.2,2010,88
130,Created Equal: Clarence Thomas in His Own Words,PG-13,116,7.9,2020,44
131,Grizzly Man,R,103,7.8,2005,87
132,Shoah,Not Rated,566,8.6,1985,99
133,Brain Games,TV-G,30,8.3,11– ,
134,The Repair Shop,,30,8.6,17– ,
135,Homicide Hunter: Lt. Joe Kenda,,43,8.8,11– ,
136,Everybody's Everything,,116,7.1,2019,71
137,Echo in the Canyon,PG-13,82,7.0,2018,70
138,63 Up,Unrated,180,8.2,ovie,89
139,Generation Wealth,R,105,6.5,2018,53
140,The Civil War,TV-14,680,9.0,1990,
141,Paris Is Burning,R,71,8.2,1990,82
142,Searching for Sugar Man,PG-13,86,8.2,2012,79
143,Baraka,Not Rated,96,8.6,1992,
144,Long Shot,TV-14,40,7.4,hort,
145,Playboy Real Couples II: Best Sex Ever,Unrated,55,6.7,ideo,
146,"Bikram: Yogi, Guru, Predator",TV-MA,86,6.7,2019,68
147,Super Size Me 2: Holy Chicken!,PG-13,93,7.0,2017,61
148,American Dharma,R,95,6.9,2018,62
149,Country Music,,,8.9,2019,
150,Senna,PG-13,106,8.5,2010,79
151,Cosmos,TV-PG,60,9.3,1980,
152,Deadliest Catch,TV-PG,55,7.9,05– ,
153,I Bought the Farm,,60,,20– ,
154,What the Health,,97,7.4,2017,
155,World War II in Colour,,65,8.7,09– ,
156,Life,TV-G,473,9.1,2009,
157,Jackass 3D,R,94,7.0,2010,56
158,Faces of Death,Not Rated,105,4.2,1978,
159,Jim & Andy: The Great Beyond,TV-MA,94,7.7,2017,77
160,Last Chance U,TV-MA,55,8.5,16– ,
161,Evil Lives Here,,43,8.0,16– ,
162,Jodorowsky's Dune,PG-13,90,8.1,2013,79
163,Unacknowledged,Not Rated,100,7.1,2017,
164,Content Cop,TV-MA,20,9.1,15– ,
165,The Innocent Man,TV-MA,284,7.4,2018,
166,Amazing Grace,G,89,7.5,2018,94
167,American Pickers,TV-PG,60,7.0,10– ,
168,Voyeur,TV-MA,95,6.2,2017,59
169,One Child Nation,R,88,7.5,2019,85
170,Triumph of the Will,Not Rated,110,7.3,1935,
171,Apocalypse: La 2ème guerre mondiale,,312,9.0,2009,
172,Cybergirl of the Year,TV-MA,25,7.1,18– ,
173,Paranormal Caught on Camera,,43,6.6,19– ,
174,Western Stars,PG,83,7.5,2019,80
175,Kobe Bryant's Muse,TV-MA,105,7.9,cial,
176,An Idiot Abroad,TV-14,43,8.3,2012,
177,Blackfish,PG-13,83,8.1,2013,83
178,March for Freedom,,134,8.7,2019,
179,Cosmos: Possible Worlds,,,,20– ,
180,Hail Satan?,R,95,7.3,2019,76
181,Rotten,,55,7.1,2019,
182,Hellier,,50,5.7,2019,
183,Bondi Rescue,,30,7.5,06– ,
184,X-Rated: The Greatest Adult Movies of All Time,TV-MA,95,5.6,cial,
185,Dominion,,120,9.1,2018,
186,Exit Through the Gift Shop,R,87,8.0,2010,85
187,Anthony Bourdain: Parts Unknown,TV-PG,42,8.8,2018,
188,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,TV-MA,142,7.7,2019,86
189,I AM PATRICK,Not Rated,93,,2020,
190,Citizenfour,R,114,8.1,2014,88
191,Paradise Lost: The Child Murders at Robin Hood Hills,Not Rated,150,8.3,1996,
192,No One Saw a Thing,TV-14,258,6.1,2019,
193,The Imposter,R,99,7.5,2012,77
194,Locked Up Abroad,,90,8.2,07– ,
195,Bob Lazar: Area 51 & Flying Saucers,Not Rated,97,5.5,2018,
196,Highway Thru Hell,,46,8.1,12– ,
197,Halston,Not Rated,105,6.7,2019,64
198,Who Killed Little Gregory?,,,7.4,2019,
199,Touching the Void,R,106,8.0,2003,82
200,The Disappearance of Madeleine McCann,TV-14,60,6.7,19– ,
201,Last Breath,,90,7.7,2019,
202,Road to Roma,,72,7.9,2020,
203,Bébé(s),PG,79,7.1,2010,63
204,Playboy Video Centerfold: Playmate of the Year Lisa Matthews,Unrated,45,6.0,ideo,
205,Time Team,Not Rated,55,8.5,2014,
206,The Beatles Anthology,,600,9.2,1996,
207,David Crosby: Remember My Name,R,95,7.2,2019,80
208,Fahrenheit 11/9,R,128,6.9,2018,69
209,Minimalism: A Documentary About the Important Things,Not Rated,78,6.7,2015,
210,Framing John DeLorean,Unrated,109,6.4,2019,67
211,Bowling for Columbine,R,120,7.9,2002,72
212,Wormwood,,241,7.0,2017,
213,Tickled,R,92,7.6,2016,76
214,The Witnesses,,,8.3,2020,
215,Grey Gardens,PG,95,7.6,1975,
216,Bluebird,Not Rated,83,7.2,2019,
217,The Queen,Not Rated,68,7.3,1968,78
218,Jacob,,46,6.3,2019,
219,The Inventor: Out for Blood in Silicon Valley,TV-14,119,7.1,2019,66
220,Nude,R,94,5.8,2017,
221,Man with a Movie Camera,Not Rated,68,8.4,1929,
222,Rust Valley Restorers,,38,7.6,18– ,
223,A Haunting,TV-PG,60,8.0,2019,
224,What's Eating America,,,7.4,20– ,
225,Heal,Not Rated,106,6.8,2017,
226,Amy,R,128,7.8,2015,85
227,Dream/Killer,Not Rated,106,7.5,2015,
228,McQueen,R,111,7.9,2018,84
229,Grand Designs,TV-G,50,8.5,99– ,
230,"I Love You, Now Die: The Commonwealth v. Michelle Carter",TV-MA,143,7.6,2019,
231,John Wick Chapter 2: Wick-vizzed,,5,7.8,ideo,
232,See No Evil,,43,8.1,14– ,
233,Midnight Family,Unrated,81,7.6,2019,82
234,20/20,Unrated,60,6.5,78– ,
235,FAT: A Documentary,,95,6.9,2019,
236,Nazi Hunters,,650,7.4,09– ,
237,Where's My Roy Cohn?,PG-13,97,6.2,2019,70
238,Nova,TV-PG,60,8.7,74– ,
239,American Playboy: The Hugh Hefner Story,TV-MA,42,7.5,17– ,
240,Slutever,TV-MA,22,5.5,2019,
241,High Fidelity,Not Rated,85,7.8,1989,
242,The Movies That Made Us,TV-MA,60,7.8,19– ,
243,Cowspiracy: The Sustainability Secret,Not Rated,90,8.3,2014,
244,Pavarotti,PG-13,114,7.5,2019,66
245,O.J.: Made in America,TV-MA,467,8.9,2016,
246,The Magic Pill,TV-14,91,7.1,2017,
247,Hoarders,TV-PG,44,6.4,09– ,
248,Black Hollywood: 'They've Gotta Have Us',TV-14,59,8.1,2018,
249,Above Majestic,Not Rated,133,6.5,2018,
250,Your Worst Nightmare,,43,6.9,14– ,
251,The Defiant Ones,,60,8.6,2017,
252,Inside Bill's Brain: Decoding Bill Gates,TV-14,52,8.0,2019,
253,Tread,,89,7.6,2019,
254,60 Minutes,TV-PG,60,7.4,68– ,
255,In My Blood It Runs,,90,7.4,2019,
256,Who Killed Garrett Phillips?,TV-MA,186,7.5,2019,
257,Fahrenheit 9/11,R,122,7.5,2004,67
258,The Universe,,45,8.8,07– ,
259,The Circus: Inside the Greatest Political Show on Earth,TV-14,30,7.1,16– ,
260,Thinking XXX,Not Rated,59,6.0,ovie,
261,I Am Not Your Negro,PG-13,93,7.8,2016,95
262,Aquarela,PG,90,6.7,2018,80
263,Waltz with Bashir,R,90,8.0,2008,91
264,The Red Pill,TV-14,108,8.3,2016,
265,Get Me Roger Stone,TV-14,92,7.4,2017,75
266,Surviving R. Kelly,TV-MA,306,7.6,2019,
267,The Times of Bill Cunningham,,74,6.0,2020,68
268,The World's Most Extraordinary Homes,,59,7.5,2018,
269,Before the Flood,PG,96,8.3,2016,63
270,The Cove,PG-13,92,8.4,2009,84
271,This Film Is Not Yet Rated,Unrated,98,7.5,2006,75
272,Hitler's Circle of Evil,,52,8.0,2018,
273,Dark Tourist,TV-MA,40,7.6,18– ,
274,The Fittest,,,,2020,
275,Snapped,TV-14,30,7.8,04– ,
276,Blink of an Eye,Not Rated,88,7.6,2019,58
277,Pumping Iron,PG,86,7.4,1977,72
278,QT8: The First Eight,TV-MA,103,7.2,2019,
279,American Experience,TV-PG,60,8.5,88– ,
280,Minding the Gap,Not Rated,93,8.1,2018,90
281,Meru,R,90,7.7,2015,77
282,Fittest in Dubai,,60,8.0,2019,
283,The Imagineering Story,,60,9.2,19– ,
284,Forks Over Knives,PG,90,7.8,2011,57
285,No Safe Spaces,PG-13,100,7.8,2019,31
286,Behind the Curve,TV-14,96,6.5,2018,
287,Citizen K,Not Rated,126,6.3,2019,76
288,"The Mind, Explained",,20,8.1,19– ,
289,România neîmblânzitã,,92,8.7,2018,
290,A Very British Romance,,60,8.2,15– ,
291,Thor: Finding Korg,,8,7.4,ideo,
292,Soaked in Bleach,Not Rated,90,7.4,2015,50
293,The Planets,,58,9.1,19– ,
294,Leah Remini: Scientology and the Aftermath,TV-14,47,9.1,2019,
295,The Movies,Not Rated,120,7.8,2019,
296,48 Hours,TV-14,60,7.3,88– ,
297,The Salt of the Earth,PG-13,110,8.5,2014,83
298,An Inconvenient Truth,PG,96,7.4,2006,75
299,Maiden,PG,97,7.6,2018,82
300,Messiah,,,6.4,2019,
301,Eddie Murphy: Raw,R,93,7.7,1987,54
302,Memory: The Origins of Alien,Not Rated,95,6.7,2019,70
303,Frontline,TV-MA,60,8.5,83– ,
304,Abstract: The Art of Design,TV-14,45,8.4,17– ,
305,The World Wars,,270,8.1,14– ,
306,Quay,,8,7.0,2015,
307,Through the Wormhole,TV-PG,60,8.6,2017,
308,Hoop Dreams,PG-13,170,8.3,1994,98
309,Game of Thrones: The Last Watch,TV-MA,114,7.2,ovie,
310,Hunting Hitler,TV-PG,42,7.5,15– ,
311,Crumb,R,119,8.0,1994,93
312,Linda Ronstadt: The Sound of My Voice,PG-13,95,8.0,2019,77
313,Cobain: Montage of Heck,TV-MA,145,7.5,2015,83
314,Life Overtakes Me,TV-PG,39,6.4,2019,
315,Man on Wire,PG-13,94,7.7,2008,89
316,The Cordillera of Dreams,,84,7.1,2019,83
317,Whitney,R,120,7.2,2018,75
318,La mia amica geniale,,72,7.9,2018,
319,That Sugar Film,Not Rated,90,7.5,2014,56
320,Playboy: Voluptuous Vixens II,Unrated,56,6.4,ideo,
321,The Making of the Mob,,343,7.9,15– ,
322,The Confession Tapes,TV-MA,46,7.5,17– ,
323,The UnXplained,,,7.3,19– ,
324,Frozen Planet,TV-PG,60,9.0,2012,
325,Fatal Attraction,TV-14,120,8.0,13– ,
326,A Haunting on Brockway Street,,132,4.9,2019,
327,2040,,92,7.2,2019,
328,United Nation Three Decades of Drum & Bass,,92,8.9,2020,
329,Pensées et visions d'une tête coupée,,26,6.8,1991,
330,The Kingmaker,R,101,7.4,2019,76
331,Casting JonBenet,TV-14,80,6.1,2017,74
332,H. H. Holmes: Original Evil,TV-MA,70,2.1,ideo,
333,Ghost Nation,,42,5.2,19– ,
334,Untouchable,,98,6.7,2019,71
335,The Look of Silence,PG-13,103,8.3,2014,92
336,The 24 Hour War,,99,7.2,2016,
337,The Men Who Built America,TV-14,295,8.6,2012,
338,Rebuilding Paradise,,95,9.3,2020,
339,The World According to Jeff Goldblum,TV-PG,,7.9,19– ,
340,Charged: The Eduardo Garcia Story,TV-PG,86,7.4,2017,
341,Lego Masters,,60,6.5,17– ,
342,Ice Road Truckers,TV-14,60,6.2,07– ,
343,The War,TV-14,124,9.0,2007,
344,Bird of Prey,G,94,8.9,2018,
345,Barnwood Builders,,,7.4,13– ,
346,Boobs: An American Obsession,Not Rated,88,5.9,2010,
347,Race for the White House,,,7.8,16– ,
348,Into the Deep,,90,6.2,2020,
349,The Rise of Jordan Peterson,,91,8.1,2019,
350,Africa,,360,9.0,2013,
351,Hunt for the Skinwalker,Not Rated,127,4.4,2018,
352,The Thin Blue Line,Not Rated,101,8.0,1988,79
353,Where to Invade Next,R,120,7.5,2015,64
354,Varda by Agnès,Not Rated,115,7.9,2019,85
355,RBG,PG,98,7.5,2018,71
356,Alison,,80,7.6,2016,
357,Cleanin' Up the Town: Remembering Ghostbusters,,128,8.2,2019,
358,Terror in the Woods,,60,6.8,17– ,
359,Faces Places,PG,94,7.9,2017,94
360,The Devil We Know,,95,7.8,2018,
361,Cold Justice,,60,7.9,13– ,
362,Sicko,PG-13,123,7.9,2007,74
363,Broken,,,6.8,19– ,
364,Sea of Shadows,PG-13,105,7.3,2019,72
365,A Cam Life,,77,5.2,2018,
366,In Search of the Last Action Heroes,,140,7.1,2019,
367,Invisible Man,,24,8.2,2012,
368,Lenny Cooke,Not Rated,88,6.7,2013,70
369,"Playboy: No Boys Allowed, 100% Girls",Unrated,51,6.6,ideo,
370,Ben Fogle: New Lives in the Wild,,,8.5,13– ,
371,Capturing the Friedmans,Not Rated,107,7.7,2003,90
372,Amanda Knox,TV-MA,92,6.9,2016,78
373,Escape to the Chateau DIY,,,8.3,2019,
374,Bombshell: The Hedy Lamarr Story,,88,7.4,2017,70
375,The Gettysburg Address,,,,,
376,Mountain,PG,74,7.2,2017,82
377,Who Do You Think You Are?,,60,8.0,04– ,
378,Ask a Porn Star,,,6.3,15– ,
379,Human Planet,TV-PG,50,9.0,2011,
380,Stop Making Sense,Not Rated,88,8.6,1984,89
381,General Magic,TV-PG,93,7.4,2018,69
382,Operation Odessa,TV-MA,95,7.7,2018,
383,Ugly Delicious,TV-MA,50,7.8,18– ,
384,Enron: The Smartest Guys in the Room,R,110,7.6,2005,
385,Aussie Gold Hunters,TV-MA,43,7.1,16– ,
386,Deadly Women,TV-PG,43,8.0,08– ,
387,TIME: The Kalief Browder Story,,,8.5,17– ,
388,Jackass Number Two,R,92,7.0,2006,66
389,1000 Ways to Die,TV-14,23,6.9,2012,
390,Jane,PG,90,7.8,2017,87
391,The Untold History of the United States,,58,8.6,2013,
392,Barbarians Rising,TV-14,120,7.8,16– ,
393,Expedition with Steve Backshall,,60,7.8,19– ,
394,The Joy of Painting,TV-G,30,9.4,1994,
395,Five Came Back,TV-14,60,8.3,2017,
396,Web of Lies,,43,7.9,14– ,
397,Cartel Land,R,100,7.4,2015,76
398,Murder Mountain,,43,6.9,2018,
399,Hearts of Darkness: A Filmmaker's Apocalypse,R,96,8.1,1991,
400,Woman,G,105,6.9,2019,
401,"Food, Inc.",PG,94,7.8,2008,80
402,Bourbontucky,TV-PG,81,8.5,ovie,
403,Dead of Winter,TV-14,43,7.3,19– ,
404,Evolved,,,7.9,18– ,
405,The Toys That Made Us,TV-14,46,8.1,17– ,
406,Woodstock,R,184,8.2,1970,
407,Scotch: A Golden Dream,Not Rated,89,7.5,2018,
408,Gunda,,93,8.2,2020,
409,Indie Sex: Teens,,120,6.8,ovie,
410,The Blue Planet,TV-G,389,9.0,2001,
411,Going Clear: Scientology & the Prison of Belief,Not Rated,119,8.0,2015,80
412,Let It Be,G,81,7.8,1969,
413,The Wall: A World Divided,TV-PG,55,7.5,ovie,
414,The Call of the Wild,,,7.3,2007,
415,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,Not Rated,97,7.5,2014,
416,Overhaulin',,60,6.8,04– ,
417,Cunningham,PG,93,6.2,2019,88
418,Medal of Honor,,60,8.4,18– ,
419,Leftover Women,,85,7.4,2019,
420,Jonestown: Terror in the Jungle,,,8.1,18– ,
421,Drug Lords,TV-MA,42,6.8,18– ,
422,Inside the World's Toughest Prisons,TV-MA,47,6.8,2018,
423,De Palma,R,110,7.4,2015,83
424,Free Burma Rangers,Not Rated,105,,2020,
425,MeatEater,,21,7.8,12– ,
426,American Movie,R,107,7.9,1999,84
427,Room 237,Not Rated,102,6.2,2012,80
428,What on Earth?,TV-PG,44,5.7,15– ,
429,Voyage of Time: Life's Journey,PG-13,90,6.4,2016,68
430,George Harrison: Living in the Material World,Not Rated,208,8.2,2011,
431,Murder in the Bayou,TV-MA,272,7.1,2019,
432,Zero Days,PG-13,116,7.8,2016,77
433,What She Said: The Art of Pauline Kael,,98,7.0,2018,68
434,Hands on a Hardbody: The Documentary,PG,98,7.6,1997,82
435,Dynasties,Not Rated,60,9.2,18– ,
436,Trump: An American Dream,,,7.1,2017,
437,Justin Bieber: Never Say Never,G,105,1.6,2011,52
438,Wrestling Isn't Wrestling,,25,8.5,ideo,
439,Making Waves: The Art of Cinematic Sound,Unrated,94,7.6,2019,80
440,Mystify: Michael Hutchence,,102,7.4,2019,73
441,Paranormal Survivor,,41,6.2,15– ,
442,Ghosts of the Abyss,G,61,6.8,2003,67
443,Abandoned,TV-14,60,8.5,16– ,
444,Night and Fog,Not Rated,32,8.6,1956,
445,Kevin Hart: Don't F**k This Up,TV-MA,30,6.4,19– ,
446,Cold Case Hammarskjöld,Not Rated,128,7.6,2019,76
447,Tea With the Dames,Unrated,84,7.3,2018,85
448,In the Absence,,28,7.7,2018,
449,Zeitgeist,Not Rated,118,8.1,ideo,
450,Jiro Dreams of Sushi,PG,81,7.9,2011,77
