,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
132,Exodus,Approved,208,6.7,1960,
133,The White Cliffs of Dover,Passed,126,7.0,1944,
134,Beasts of No Nation,Not Rated,137,7.7,2015,79
135,Journey's End,R,107,6.6,2017,73
136,Sahara,PG-13,124,6.0,2005,41
137,The 12th Man,Unrated,135,7.4,2017,70
138,The Birth of a Nation,TV-PG,195,6.4,1915,
139,Sand Castle,TV-MA,113,6.3,2017,45
140,In Harm's Way,Approved,165,7.3,1965,
141,The Killing Fields,R,141,7.8,1984,76
142,The Great Dictator,Passed,125,8.4,1940,
143,Red Dawn,PG-13,93,5.4,2012,31
144,All Quiet on the Western Front,Not Rated,136,8.0,1930,91
145,Where Eagles Dare,PG,158,7.7,1968,63
146,The Battle of Jangsari,Not Rated,104,5.9,2019,
147,Macbeth,R,113,6.6,2015,71
148,Letters from Iwo Jima,R,141,7.9,2006,89
149,Born on the Fourth of July,R,145,7.2,1989,75
150,How I Live Now,R,101,6.5,2013,57
151,A Private War,R,110,6.7,2018,75
152,Greyhound,,,,2020,
153,Crimson Tide,R,116,7.3,1995,66
154,Centurion,R,97,6.4,2010,62
155,Kesari,Not Rated,150,7.4,2019,
156,Hamburger Hill,R,110,6.7,1987,64
157,Lust och fägring stor,Unrated,130,6.9,1995,
158,Billy Lynn's Long Halftime Walk,R,113,6.2,2016,53
159,The Longest Day,G,178,7.8,1962,75
160,Imperium,R,109,6.5,2016,68
161,Battle of Britain,G,132,7.0,1969,
162,Iron Eagle,PG-13,117,5.5,1986,41
163,"Lust, Caution",NC-17,157,7.5,2007,61
164,From Here to Eternity,Passed,118,7.6,1953,85
165,Gettysburg,PG,271,7.6,1993,
166,Where Hands Touch,PG-13,122,6.1,2018,44
167,Thank You for Your Service,R,109,6.5,2017,68
168,The Siege of Jadotville,TV-MA,108,7.2,2016,
169,The Book Thief,PG-13,131,7.6,2013,53
170,1941,PG,118,5.8,1979,34
171,Le chant du loup,TV-14,115,7.0,2019,
172,Anthropoid,R,120,7.2,2016,59
173,The African Queen,PG,105,7.7,1951,91
174,The Sum of All Fears,PG-13,124,6.4,2002,45
175,Last Knights,R,115,6.2,2015,27
176,Uri: The Surgical Strike,Not Rated,138,8.3,2019,
177,'71,R,99,7.2,2014,83
178,Three Kings,R,114,7.1,1999,82
179,The Wind Rises,PG-13,126,7.8,2013,83
180,The Exception,R,107,6.8,2016,60
181,Eye in the Sky,R,102,7.3,2015,73
182,Tristan & Isolde,PG-13,125,6.8,2006,49
183,Last Flag Flying,R,125,6.9,2017,65
184,Buffalo Soldiers,R,98,6.8,2001,56
185,G.I. Jane,R,125,5.9,1997,62
186,"Good Morning, Vietnam",R,121,7.3,1987,67
187,The Monuments Men,PG-13,118,6.1,2014,52
188,Viking,Not Rated,142,4.5,2016,
189,Kilo Two Bravo,R,108,7.1,2014,
190,First They Killed My Father,TV-MA,136,7.2,2017,72
191,Without Remorse,,,,2020,
192,Flags of Our Fathers,R,135,7.1,2006,79
193,Rescue Dawn,PG-13,120,7.3,2006,77
194,Behind Enemy Lines,PG-13,106,6.4,2001,49
195,Patton,GP,172,7.9,1970,91
196,A Guy Named Joe,Passed,120,7.0,1943,
197,The Year of Living Dangerously,PG,115,7.1,1982,65
198,Black Book,R,145,7.7,2006,71
199,U-571,PG-13,116,6.6,2000,62
200,The Water Diviner,R,111,7.0,2014,50
201,Judgment at Nuremberg,Not Rated,179,8.2,1961,60
202,Catch-22,R,122,7.2,1970,70
203,The Russians Are Coming the Russians Are Coming,Unrated,126,7.1,1966,
204,The Knight of Shadows: Between Yin and Yang,,109,4.9,2019,
205,Hannibal Rising,R,121,6.2,2007,35
206,Padmaavat,Not Rated,164,7.0,2018,63
207,Saul fia,R,107,7.5,2015,91
208,The Man with the Iron Heart,R,120,6.4,2017,
209,Legend of the Guardians: The Owls of Ga'Hoole,PG,97,6.9,2010,53
210,Tobruk,Approved,107,6.4,1967,
211,Green Zone,R,115,6.8,2010,63
212,USS Indianapolis: Men of Courage,R,128,5.2,2016,30
213,The Captain,,118,7.4,2017,67
214,The Eagle,PG-13,114,6.2,2011,55
