,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
136,Fifty Shades of Grey,R,125,4.1,2015,46
137,Se7en,R,127,8.6,1995,65
138,Code 8,,98,6.1,2019,
139,Villains,R,90,6.2,2019,63
140,Arrival,PG-13,116,7.9,2016,81
141,Léon: The Professional,R,110,8.5,1994,64
142,The Great Gatsby,PG-13,143,7.2,2013,55
143,The Greatest Showman,PG,105,7.6,2017,48
144,Hacksaw Ridge,R,139,8.1,2016,71
145,Ghostbusters: Afterlife,,,,2020,
146,Troop Zero,PG,94,7.0,2019,59
147,A Simple Favor,R,117,6.8,2018,67
148,47 Meters Down: Uncaged,PG-13,90,5.0,2019,43
149,The VVitch: A New-England Folktale,R,92,6.9,2015,83
150,The Revenant,R,156,8.0,2015,76
151,Waves,R,135,7.7,2019,80
152,10 Things I Hate About You,PG-13,97,7.3,1999,70
153,The Last Full Measure,R,116,6.5,2019,52
154,Brightburn,R,90,6.1,2019,44
155,Whiplash,R,106,8.5,2014,88
156,The Lord of the Rings: The Return of the King,PG-13,201,8.9,2003,94
157,Buffaloed,Not Rated,95,5.8,2019,63
158,American Psycho,R,101,7.6,2000,64
159,Panipat,Not Rated,165,5.5,2019,
160,No Country for Old Men,R,122,8.1,2007,91
161,Pain and Glory,R,113,7.6,2019,87
162,Love Actually,R,135,7.6,2003,55
163,A Hidden Life,PG-13,174,7.6,2019,78
164,True History of the Kelly Gang,R,124,5.9,2019,83
165,Mother,R,129,7.8,2009,79
166,Morbius,Unrated,,,2020,
167,The Personal History of David Copperfield,PG,119,6.6,2019,75
168,Red Sparrow,R,140,6.6,2018,53
169,True Romance,R,119,7.9,1993,59
170,Basic Instinct,R,127,7.0,1992,41
171,Togo,PG,113,8.1,2019,71
172,A Star Is Born,R,136,7.7,2018,88
173,Zodiac,R,157,7.7,2007,78
174,The Prestige,PG-13,130,8.5,2006,66
175,The Big Short,R,130,7.8,2015,81
176,The Karate Kid,PG,126,7.2,1984,60
177,Moonlight,R,111,7.4,2016,99
178,Stand by Me,R,89,8.1,1986,75
179,Timmy Failure: Mistakes Were Made,PG,99,6.3,2020,63
180,Minamata,,115,8.0,2020,
181,Apocalypse Now,R,147,8.4,1979,94
182,"Crazy, Stupid, Love.",PG-13,118,7.4,2011,68
183,The Hateful Eight,R,168,7.8,2015,68
184,Good Will Hunting,R,126,8.3,1997,70
185,Crazy Rich Asians,PG-13,120,6.9,2018,74
186,Wendy,PG-13,112,6.4,2020,58
187,The Turning,PG-13,94,3.7,2020,35
188,Glass,PG-13,129,6.7,2019,43
189,La La Land,PG-13,128,8.0,2016,93
190,The Professor and the Madman,,124,7.3,2019,25
191,Scarface,R,170,8.3,1983,65
192,Fury,R,134,7.6,2014,64
193,Requiem for a Dream,R,102,8.3,2000,68
194,Les Misérables,PG-13,158,7.6,2012,63
195,13 Hours,R,144,7.3,2016,48
196,Harry Potter and the Deathly Hallows: Part 2,PG-13,130,8.1,2011,87
197,Coyote Ugly,PG-13,100,5.7,2000,27
198,Gone with the Wind,Passed,238,8.1,1939,97
199,The Master,R,138,7.2,2012,86
200,The Outsiders,PG,91,7.1,1983,41
201,The Laundromat,R,95,6.3,2019,57
202,Captain Fantastic,R,118,7.9,2016,72
203,I Still Believe,PG,,,2020,
204,The Lion in Winter,PG,134,7.9,1968,
205,Come As You Are,TV-MA,106,6.8,2019,69
206,Top Gun,PG,110,6.9,1986,50
207,Pride & Prejudice,PG,129,7.8,2005,82
208,Birdman or (The Unexpected Virtue of Ignorance),R,119,7.7,2014,87
209,BlacKkKlansman,R,135,7.5,2018,83
210,Hostiles,R,134,7.2,2017,65
211,The Informer,R,113,6.5,2019,64
212,"I, Tonya",R,119,7.5,2017,77
213,Annihilation,R,115,6.9,2018,79
214,One Flew Over the Cuckoo's Nest,R,133,8.7,1975,83
215,Instant Family,PG-13,118,7.3,2018,57
216,Romeo + Juliet,PG-13,120,6.7,1996,60
217,Dolemite Is My Name,R,118,7.3,2019,76
218,Reservoir Dogs,R,99,8.3,1992,79
219,Mardaani 2,Not Rated,103,7.4,2019,
220,"Extremely Wicked, Shockingly Evil and Vile",R,110,6.6,2019,52
221,12 Years a Slave,R,134,8.1,2013,96
222,Black Swan,R,108,8.0,2010,79
223,A Clockwork Orange,R,136,8.3,1971,80
224,Life Is Beautiful,PG-13,116,8.6,1997,59
225,Burning,Not Rated,148,7.6,2018,90
226,The Godfather: Part III,R,162,7.6,1990,60
227,The Goldfinch,R,149,6.2,2019,40
228,Logan Lucky,PG-13,118,7.0,2017,78
229,The Pianist,R,150,8.5,2002,85
230,Dances with Wolves,PG-13,181,8.0,1990,72
231,Knock Knock,R,99,4.9,2015,53
232,Room,R,118,8.1,2015,86
233,Almost Famous,R,122,7.9,2000,90
234,Vice,R,132,7.2,2018,61
235,Ex Machina,R,108,7.7,2014,78
