,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
135,Hatsukoi,TV-MA,108,7.1,2019,76
136,Now You See Me,PG-13,115,7.3,2013,50
137,In Bruges,R,107,7.9,2008,67
138,Casino,R,178,8.2,1995,73
139,I See You,R,96,6.6,2019,65
140,Killers of the Flower Moon,,,,2021,
141,Gangs of New York,R,167,7.5,2002,72
142,Point Break,R,122,7.3,1991,58
143,Dirty Harry,R,102,7.7,1971,90
144,Kill Bill: Vol. 2,R,137,8.0,2004,83
145,Official Secrets,R,112,7.3,2019,63
146,Death on the Nile,,,,2020,
147,The Town,R,125,7.5,2010,74
148,Ocean's Eleven,PG-13,116,7.8,2001,74
149,Bright,TV-MA,117,6.3,2017,29
150,The Woman in the Window,R,,,2020,
151,Game Night,R,100,6.9,2018,66
152,Higher Learning,R,127,6.5,1995,54
153,Dragged Across Concrete,R,159,7.0,2018,60
154,Sicario: Day of the Soldado,R,122,7.1,2018,61
155,The Fast and the Furious: Tokyo Drift,PG-13,104,6.0,2006,45
156,Crash,R,112,7.8,2004,69
157,Captain Phillips,PG-13,134,7.8,2013,83
158,Fantastic Mr. Fox,PG,87,7.8,2009,83
159,Inherent Vice,R,148,6.7,2014,81
160,The Snowman,R,119,5.1,2017,23
161,Wonderland,R,104,6.6,2003,43
162,Primal Fear,R,129,7.7,1996,47
163,The Sisters Brothers,R,122,7.0,2018,78
164,Term Life,R,93,5.5,2016,23
165,Sherlock Holmes,PG-13,128,7.6,2009,57
166,The Highwaymen,R,132,6.9,2019,58
167,Training Day,R,122,7.7,2001,69
168,Chicago,PG-13,113,7.1,2002,82
169,Cape Fear,R,128,7.3,1991,73
170,Den of Thieves,R,140,7.0,2018,49
171,I Saw the Devil,Not Rated,144,7.8,2010,67
172,The Many Saints of Newark,,,,2020,
173,The Art of Self-Defense,R,104,6.7,2019,65
174,Shoplifters,R,121,8.0,2018,93
175,The Nice Guys,R,116,7.4,2016,70
176,Don't Breathe,R,88,7.1,2016,71
177,Irréversible,Not Rated,97,7.4,2002,51
178,Beast,R,107,6.8,2017,74
179,Batman Returns,PG-13,126,7.0,1992,68
180,Heathers,R,103,7.2,1989,72
181,Sleepers,R,147,7.6,1996,49
182,Stuber,R,93,6.1,2019,42
183,Kiss the Girls,R,115,6.6,1997,46
184,Papillon,R,133,7.2,2017,51
185,Mafia: Chapter 1,,113,6.8,2020,
186,The Girl in the Spider's Web,R,115,6.1,2018,43
187,Lawless,R,116,7.3,2012,58
188,Nerve,PG-13,96,6.5,2016,58
189,Blow,R,124,7.6,2001,52
190,West Side Story,Not Rated,153,7.5,1961,86
191,Face/Off,R,138,7.3,1997,82
192,Wild Things,R,108,6.5,1998,52
193,The Tourist,PG-13,103,6.0,2010,37
194,Thelma & Louise,R,130,7.5,1991,88
195,Police Academy 4: Citizens on Patrol,PG,88,5.0,1987,26
196,Layer Cake,R,105,7.3,2004,73
197,Road to Perdition,R,117,7.7,2002,72
198,All the Money in the World,R,132,6.8,2017,72
199,The Girl on the Train,R,112,6.5,2016,48
200,Stockholm,R,92,6.1,2018,54
201,The Asphalt Jungle,Passed,112,7.9,1950,
202,The Lincoln Lawyer,R,118,7.3,2011,63
203,American Gangster,R,157,7.8,2007,76
204,Central Intelligence,PG-13,107,6.3,2016,52
205,Wanted,R,110,6.7,2008,64
206,Shaft,R,99,5.9,2000,50
207,Hannibal,R,131,6.8,2001,57
208,Wild at Heart,R,125,7.2,1990,52
209,The Fugitive,PG-13,130,7.8,1993,87
210,Who Framed Roger Rabbit,PG,104,7.7,1988,83
211,Mystic River,R,138,7.9,2003,84
212,Spy,R,120,7.0,2015,75
213,Smokin' Aces,R,108,6.7,2006,45
214,The Place Beyond the Pines,R,140,7.3,2012,68
215,RoboCop,R,102,7.5,1987,67
216,Dick Tracy,PG,105,6.1,1990,68
217,The Equalizer,R,132,7.2,2014,57
218,Natural Born Killers,R,118,7.3,1994,74
219,The Kitchen,R,102,5.3,2019,35
220,War Dogs,R,114,7.1,2016,57
221,White Chicks,PG-13,109,5.6,2004,41
222,The Fanatic,R,88,4.9,2019,18
223,The Old Man & the Gun,PG-13,93,6.7,2018,80
224,Death Wish,R,107,6.4,2018,31
225,A Bronx Tale,R,121,7.8,1993,80
226,Monster,R,109,7.3,2003,74
227,Hot Summer Nights,R,107,6.4,2017,44
228,Gaslight,Not Rated,114,7.8,1944,
229,Papillon,R,151,8.0,1973,58
230,L.A. Confidential,R,138,8.2,1997,90
231,The Punisher,R,124,6.4,2004,33
232,Kick-Ass,R,117,7.6,2010,66
233,Lethal Weapon,R,109,7.6,1987,68
234,In the Heat of the Night,Not Rated,110,8.0,1967,75
235,21,PG-13,123,6.8,2008,48
236,Point Break,PG-13,114,5.3,2015,34
237,My Cousin Vinny,R,120,7.6,1992,68
238,Minority Report,PG-13,145,7.6,2002,80
239,21 Jump Street,R,109,7.2,2012,69
240,Shot Caller,R,121,7.3,2017,59
241,"O Brother, Where Art Thou?",PG-13,107,7.7,2000,69
242,Seven Psychopaths,R,110,7.2,2012,66
243,Can You Ever Forgive Me?,R,106,7.1,2018,87
244,The Equalizer 2,R,121,6.7,2018,50
245,Savages,R,131,6.5,2012,59
246,Lolita,Not Rated,153,7.6,1962,79
247,The Untouchables,R,119,7.9,1987,79
248,Now You See Me 2,PG-13,129,6.5,2016,46
249,Cool Hand Luke,GP,127,8.1,1967,91
250,Boys Don't Cry,R,118,7.5,1999,86
251,The Lovebirds,R,86,,2020,
252,The Courier,R,99,5.9,2019,15
253,Proud Mary,R,89,4.9,2018,35
254,Public Enemies,R,140,7.0,2009,70
255,1922,TV-MA,102,6.3,2017,70
256,The Family,R,111,6.3,2013,42
257,The Pink Panther,Not Rated,115,7.1,1963,55
258,Mr. & Mrs. Smith,PG-13,120,6.5,2005,55
259,Dredd,R,95,7.1,2012,60
260,The Bank Job,R,111,7.2,2008,69
261,It's a Mad Mad Mad Mad World,G,205,7.5,1963,59
262,Falling Down,R,113,7.6,1993,56
263,Green Street Hooligans,R,109,7.5,2005,55
264,Inferno,PG-13,121,6.2,2016,42
265,Collateral,R,120,7.5,2004,71
266,Focus,R,105,6.6,2015,56
267,Into the Blue,PG-13,110,5.8,2005,45
268,Jack Reacher,PG-13,130,7.0,2012,50
269,Skin,R,118,7.3,2018,58
270,Escape Plan: The Extractors,R,97,4.4,2019,
271,Rush Hour,PG-13,98,7.0,1998,60
272,RocknRolla,R,114,7.3,2008,53
273,Side Effects,R,106,7.1,2013,75
274,Traffic,R,147,7.6,2000,86
275,John Wick: Chapter 4,,,,2021,
276,The Blues Brothers,R,133,7.9,1980,60
277,Red Dragon,R,124,7.2,2002,60
278,Nan Fang Che Zhan De Ju Hui,,113,6.8,2019,74
279,To Kill a Mockingbird,Not Rated,129,8.2,1962,88
280,The Traitor,R,145,7.1,2019,63
281,Hackers,PG-13,105,6.3,1995,46
282,Austin Powers: The Spy Who Shagged Me,PG-13,95,6.6,1999,59
283,Dark Crimes,R,92,5.1,2016,24
284,Manhunter,R,120,7.2,1986,75
285,Pain & Gain,R,129,6.4,2013,45
286,Mean Streets,R,112,7.3,1973,96
287,Beverly Hills Cop,R,105,7.3,1984,66
288,What Happened to Monday,TV-MA,123,6.9,2017,47
289,The Naked Gun: From the Files of Police Squad!,PG-13,85,7.6,1988,76
290,Panic Room,R,112,6.8,2002,65
291,The Assassination of Jesse James by the Coward Robert Ford,R,160,7.5,2007,68
292,Charlie's Angels: Full Throttle,PG-13,106,4.9,2003,48
293,A Good Marriage,R,102,5.2,2014,43
294,Brick,R,110,7.3,2005,72
295,Lying and Stealing,R,100,5.2,2019,50
296,The Captive,R,112,5.9,2014,36
297,The Next Three Days,PG-13,133,7.4,2010,52
298,Suburbicon,R,105,5.7,2017,42
299,True Story,R,99,6.3,2015,50
300,Inside Man,R,129,7.6,2006,76
301,The Hate U Give,PG-13,133,7.4,2018,81
302,Earthquake Bird,R,107,5.9,2019,51
303,Fonzo,,,,,
304,Strange Days,R,145,7.2,1995,66
