,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
128,Avengers: Age of Ultron,PG-13,141,7.3,2015,66
129,Venom 2,,,,2020,
130,Star Wars: Episode VII - The Force Awakens,PG-13,138,7.9,2015,81
131,Transformers: The Last Knight,PG-13,154,5.2,2017,27
132,X-Men: Apocalypse,PG-13,144,6.9,2016,52
133,Top Gun,PG,110,6.9,1986,50
134,Quantum of Solace,PG-13,106,6.6,2008,58
135,Deadpool,R,108,8.0,2016,65
136,Dune,PG-13,137,6.5,1984,40
137,Jurassic World: Fallen Kingdom,PG-13,128,6.2,2018,51
138,Captain America: The First Avenger,PG-13,124,6.9,2011,66
139,Ocean's 8,PG-13,110,6.2,2018,61
140,Ghostbusters,PG,105,7.8,1984,71
141,Kill Bill: Vol. 1,R,111,8.1,2003,69
142,Mardaani 2,Not Rated,103,7.4,2019,
143,Jurassic World 3,,,,2021,
144,Maleficent,PG,97,7.0,2014,56
145,Bad Boys II,R,147,6.6,2003,38
146,The Avengers,PG-13,143,8.0,2012,69
147,Spies in Disguise,PG,102,6.8,2019,54
148,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,143,8.0,2003,63
149,John Wick: Chapter 2,R,122,7.5,2017,75
150,Batman v Superman: Dawn of Justice,PG-13,151,6.5,2016,44
151,Guardians of the Galaxy Vol. 2,PG-13,136,7.6,2017,67
152,Polar,TV-MA,118,6.3,2019,19
153,Free Guy,,,,2020,
154,Untitled Indiana Jones Project,,,,2021,
155,12 Strong,R,130,6.5,2018,54
156,Jason Bourne,PG-13,123,6.6,2016,58
157,Man on Fire,R,146,7.7,2004,47
158,Solo: A Star Wars Story,PG-13,135,6.9,2018,62
159,Batman,PG-13,126,7.5,1989,69
160,Journey to China: The Mystery of Iron Mask,,120,4.6,2019,
161,300,R,117,7.6,2006,52
162,Indiana Jones and the Temple of Doom,PG,118,7.6,1984,57
163,Iron Man Three,PG-13,130,7.2,2013,62
164,Logan,R,137,8.1,2017,77
165,Key Largo,Not Rated,100,7.8,1948,
166,Tropic Thunder,R,107,7.0,2008,71
167,Bumblebee,PG-13,114,6.8,2018,66
168,Willow,PG,126,7.3,1988,47
169,Spider-Man: Homecoming,PG-13,133,7.4,2017,73
170,Spycies,,99,5.1,2019,
171,The Tomorrow War,,,,2020,
172,The Aeronauts,PG-13,100,6.6,2019,60
173,The Hunger Games: Catching Fire,PG-13,146,7.5,2013,76
174,King Arthur: Legend of the Sword,PG-13,126,6.7,2017,41
175,Sicario,R,121,7.6,2015,82
176,Triple Frontier,R,125,6.5,2019,61
177,Upgrade,R,100,7.5,2018,67
178,Murder Mystery,PG-13,97,6.0,2019,38
179,Eagle Eye,PG-13,118,6.6,2008,43
180,The Matrix Reloaded,R,138,7.2,2003,62
181,Star Trek,PG-13,127,7.9,2009,82
182,Thor,PG-13,115,7.0,2011,57
183,Aliens,R,137,8.3,1986,84
184,Doctor Strange,PG-13,115,7.5,2016,72
185,Mandy,Not Rated,121,6.6,2018,81
186,Jarhead,R,125,7.0,2005,58
187,The Spy Who Dumped Me,R,117,6.0,2018,52
188,Iron Man,PG-13,126,7.9,2008,79
189,The Last Stand,R,107,6.3,2013,54
190,Man of Steel,PG-13,143,7.1,2013,55
191,Looper,R,113,7.4,2012,84
192,The Patriot,R,165,7.2,2000,63
193,San Andreas,PG-13,114,6.0,2015,43
194,Doctor Strange in the Multiverse of Madness,,,,2021,
195,The Rhythm Section,R,109,5.3,2020,45
196,Star Trek Beyond,PG-13,122,7.1,2016,68
197,Pokémon: Mewtwo Strikes Back - Evolution,TV-Y7,98,6.3,2019,
198,Night Hunter,R,98,5.8,2018,31
199,Spider-Man,PG-13,121,7.3,2002,73
200,Cold Pursuit,R,119,6.2,2019,57
201,The Accountant,R,128,7.3,2016,51
202,Immortals,R,110,6.0,2011,46
203,Jungle Cruise,,,,2020,
204,The Ballad of Lefty Brown,R,111,6.3,2017,64
205,Star Trek Into Darkness,PG-13,132,7.7,2013,72
206,The Man from U.N.C.L.E.,PG-13,116,7.3,2015,56
207,Star Wars: Episode VI - Return of the Jedi,PG,131,8.3,1983,58
208,The Commuter,PG-13,105,6.3,2018,56
209,Mortal Kombat,,,,2021,
210,Tombstone,R,130,7.8,1993,50
211,Divergent,PG-13,139,6.7,2014,48
212,My Hero Academia: Heroes Rising,PG-13,104,7.9,2019,
213,Black and Blue,R,108,6.2,2019,54
214,Robin Hood: Prince of Thieves,PG-13,143,6.9,1991,51
215,Monster Hunter,PG-13,,,2020,
216,Shang-Chi and the Legend of the Ten Rings,,,,2021,
217,Edge of Tomorrow,PG-13,113,7.9,2014,71
218,The Warriors,R,92,7.6,1979,65
219,The Fast and the Furious,PG-13,106,6.8,2001,58
220,Van Helsing,PG-13,131,6.1,2004,35
221,American Made,R,115,7.1,2017,65
222,The Island,PG-13,136,6.8,2005,50
223,Twister,PG-13,113,6.4,1996,68
224,From Dusk Till Dawn,R,108,7.2,1996,48
225,Escape Room,PG-13,99,6.3,2019,48
226,Jurassic World,PG-13,124,7.0,2015,59
227,Star Wars: Episode III - Revenge of the Sith,PG-13,140,7.5,2005,68
228,Teenage Mutant Ninja Turtles,PG,93,6.8,1990,51
229,Star Wars: Episode V - The Empire Strikes Back,PG,124,8.7,1980,82
230,The Mask,PG-13,101,6.9,1994,56
231,Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,129,6.6,2017,39
232,Warcraft,PG-13,123,6.8,2016,32
233,Star Wars: Episode II - Attack of the Clones,PG,142,6.5,2002,54
234,Captain America: Civil War,PG-13,147,7.8,2016,75
235,Charlie's Angels,PG-13,98,5.5,2000,52
236,X-Men,PG-13,104,7.4,2000,64
237,Deepwater Horizon,PG-13,107,7.1,2016,68
238,Overlord,R,110,6.6,2018,60
239,Valerian and the City of a Thousand Planets,PG-13,137,6.5,2017,51
240,Batman Forever,PG-13,121,5.4,1995,51
241,Extraction,,,,2020,
242,Terminator Genisys,PG-13,126,6.4,2015,38
243,Hell or High Water,R,102,7.6,2016,88
244,Hotel Mumbai,R,123,7.6,2018,62
245,Kong: Skull Island,PG-13,118,6.6,2017,62
246,The Predator,R,107,5.4,2018,48
247,End of Watch,R,109,7.6,2012,68
248,Mortal Engines,PG-13,128,6.1,2018,44
