,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
120,The Avengers,PG-13,143,8.0,2012,69
121,Spies in Disguise,PG,102,6.8,2019,54
122,Dances with Wolves,PG-13,181,8.0,1990,72
123,Zootopia,PG,108,8.0,2016,78
124,Almost Famous,R,122,7.9,2000,90
125,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,143,8.0,2003,63
126,Batman v Superman: Dawn of Justice,PG-13,151,6.5,2016,44
127,Guardians of the Galaxy Vol. 2,PG-13,136,7.6,2017,67
128,The Lord of the Rings: The Two Towers,PG-13,179,8.7,2002,87
129,Free Guy,,,,2020,
130,Untitled Indiana Jones Project,,,,2021,
131,Zombieland,R,88,7.6,2009,73
132,Peter Rabbit,PG,95,6.5,2018,51
133,Solo: A Star Wars Story,PG-13,135,6.9,2018,62
134,Batman,PG-13,126,7.5,1989,69
135,Journey to China: The Mystery of Iron Mask,,120,4.6,2019,
136,The Hobbit: An Unexpected Journey,PG-13,169,7.8,2012,58
137,Chaos Walking,,,,2021,
138,Indiana Jones and the Temple of Doom,PG,118,7.6,1984,57
139,Trolls World Tour,PG,,,2020,
140,Percy Jackson & the Olympians: The Lightning Thief,PG,118,5.9,2010,47
141,Iron Man Three,PG-13,130,7.2,2013,62
142,Scoob!,,,,2020,
143,Bumblebee,PG-13,114,6.8,2018,66
144,Willow,PG,126,7.3,1988,47
145,Spider-Man: Homecoming,PG-13,133,7.4,2017,73
146,Abominable,PG,97,7.0,2019,61
147,The Aeronauts,PG-13,100,6.6,2019,60
148,The Hunger Games: Catching Fire,PG-13,146,7.5,2013,76
149,"Honey, I Shrunk the Kids",PG,93,6.3,1989,63
150,King Arthur: Legend of the Sword,PG-13,126,6.7,2017,41
151,Lawrence of Arabia,Approved,228,8.3,1962,100
152,Triple Frontier,R,125,6.5,2019,61
153,Star Trek,PG-13,127,7.9,2009,82
154,Thor,PG-13,115,7.0,2011,57
155,Coco,PG,105,8.4,2017,81
156,Harry Potter and the Prisoner of Azkaban,PG,142,7.9,2004,82
157,Aliens,R,137,8.3,1986,84
158,Doctor Strange,PG-13,115,7.5,2016,72
159,The Mole People,Approved,77,4.9,1956,
160,Tangled,PG,100,7.7,2010,71
161,The Spy Who Dumped Me,R,117,6.0,2018,52
162,Iron Man,PG-13,126,7.9,2008,79
163,Charlie and the Chocolate Factory,PG,115,6.6,2005,72
164,Lady and the Tramp,PG,103,6.3,2019,48
165,Man of Steel,PG-13,143,7.1,2013,55
166,San Andreas,PG-13,114,6.0,2015,43
167,Klaus,PG,96,8.2,2019,65
168,The Twilight Saga: Breaking Dawn - Part 2,PG-13,115,5.5,2012,52
169,The Nightingale,R,136,7.3,2018,77
170,Stardust,PG-13,127,7.6,2007,66
171,Star Trek Beyond,PG-13,122,7.1,2016,68
172,2001: A Space Odyssey,G,149,8.3,1968,84
173,Spider-Man,PG-13,121,7.3,2002,73
174,Ratatouille,G,111,8.0,2007,96
175,Jungle Cruise,,,,2020,
176,Star Trek Into Darkness,PG-13,132,7.7,2013,72
177,The Man from U.N.C.L.E.,PG-13,116,7.3,2015,56
178,Star Wars: Episode VI - Return of the Jedi,PG,131,8.3,1983,58
179,Mortal Kombat,,,,2021,
180,Divergent,PG-13,139,6.7,2014,48
181,My Hero Academia: Heroes Rising,PG-13,104,7.9,2019,
182,Toy Story 3,G,103,8.3,2010,92
183,Robin Hood: Prince of Thieves,PG-13,143,6.9,1991,51
184,Shang-Chi and the Legend of the Ten Rings,,,,2021,
185,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,143,6.9,2005,75
186,Van Helsing,PG-13,131,6.1,2004,35
187,Harry Potter and the Chamber of Secrets,PG,161,7.4,2002,63
188,Twister,PG-13,113,6.4,1996,68
189,Escape Room,PG-13,99,6.3,2019,48
190,Jurassic World,PG-13,124,7.0,2015,59
191,Star Wars: Episode III - Revenge of the Sith,PG-13,140,7.5,2005,68
192,High Life,R,113,5.9,2018,77
193,Teenage Mutant Ninja Turtles,PG,93,6.8,1990,51
194,The Wizard of Oz,PG,102,8.0,1939,100
195,Star Wars: Episode V - The Empire Strikes Back,PG,124,8.7,1980,82
196,Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,129,6.6,2017,39
197,Warcraft,PG-13,123,6.8,2016,32
198,Star Wars: Episode II - Attack of the Clones,PG,142,6.5,2002,54
199,Artemis Fowl,PG,,,2020,
200,Captain America: Civil War,PG-13,147,7.8,2016,75
201,Charlie's Angels,PG-13,98,5.5,2000,52
202,X-Men,PG-13,104,7.4,2000,64
203,Hunt for the Wilderpeople,PG-13,101,7.9,2016,81
204,Overlord,R,110,6.6,2018,60
205,Valerian and the City of a Thousand Planets,PG-13,137,6.5,2017,51
206,Batman Forever,PG-13,121,5.4,1995,51
207,Vacation,R,98,7.4,1983,55
208,Terminator Genisys,PG-13,126,6.4,2015,38
209,Mulan,G,88,7.6,1998,71
210,Inside Out,PG,95,8.2,2015,94
211,Into the Wild,R,148,8.1,2007,73
212,Minions: The Rise of Gru,,,,2020,
213,Kong: Skull Island,PG-13,118,6.6,2017,62
214,The Predator,R,107,5.4,2018,48
215,Shrek,PG,90,7.8,2001,84
216,Mortal Engines,PG-13,128,6.1,2018,44
217,Space Jam,PG,88,6.4,1996,59
218,Dr. No,PG,110,7.3,1962,78
219,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,122,6.1,2008,65
220,Harry Potter and the Order of the Phoenix,PG-13,138,7.5,2007,71
221,Monos,R,102,7.2,2019,78
222,Aladdin,G,90,8.0,1992,86
223,Furious 6,PG-13,130,7.1,2013,61
224,Bacurau,,131,7.8,2019,74
225,Masters of the Universe,,,,,
226,Transformers,PG-13,144,7.0,2007,61
227,Isle of Dogs,PG-13,101,7.9,2018,82
228,Starship Troopers,R,129,7.2,1997,51
229,The Fifth Element,PG-13,126,7.7,1997,52
230,Jaws,PG,124,8.0,1975,87
231,Apocalypto,R,139,7.8,2006,68
232,The Hunger Games: Mockingjay - Part 2,PG-13,137,6.5,2015,65
233,Skyscraper,PG-13,102,5.8,2018,51
234,Dragonball Evolution,PG,85,2.5,2009,45
235,Predator,R,107,7.8,1987,45
236,World War Z,PG-13,116,7.0,2013,63
