,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
118,Groundhog Day,PG,101,8.0,1993,72
119,Splash,PG,111,6.2,1984,71
120,Inside Out,PG,95,8.2,2015,94
121,Kong: Skull Island,PG-13,118,6.6,2017,62
122,Shrek,PG,90,7.8,2001,84
123,The Curious Case of Benjamin Button,PG-13,166,7.8,2008,70
124,Mortal Engines,PG-13,128,6.1,2018,44
125,Weathering with You,PG-13,112,7.6,2019,72
126,Space Jam,PG,88,6.4,1996,59
127,Constantine,R,121,7.0,2005,50
128,Harry Potter and the Order of the Phoenix,PG-13,138,7.5,2007,71
129,The Invention of Lying,PG-13,100,6.4,2009,58
130,Aladdin,G,90,8.0,1992,86
131,Masters of the Universe,,,,,
132,Isle of Dogs,PG-13,101,7.9,2018,82
133,Dragonball Evolution,PG,85,2.5,2009,45
134,Harry Potter and the Half-Blood Prince,PG,153,7.6,2009,78
135,Harry Potter and the Deathly Hallows: Part 1,PG-13,146,7.7,2010,65
136,The Mummy,PG-13,124,7.0,1999,48
137,The Hobbit: The Battle of the Five Armies,PG-13,144,7.4,2014,59
138,Fantastic Beasts and Where to Find Them,PG-13,132,7.3,2016,66
139,How to Train Your Dragon: The Hidden World,PG,104,7.5,2019,71
140,Ghost,PG-13,127,7.0,1990,52
141,Bright,TV-MA,117,6.3,2017,29
142,"Monsters, Inc.",G,92,8.0,2001,79
143,Hancock,PG-13,92,6.4,2008,49
144,Edward Scissorhands,PG-13,105,7.9,1990,74
145,Midnight in Paris,PG-13,94,7.7,2011,81
146,Sucker Punch,PG-13,110,6.0,2011,33
147,Missing Link,PG,93,6.7,2019,68
148,Scooby-Doo,PG,86,5.0,2002,35
149,Conan the Barbarian,R,113,5.2,2011,36
150,Pride and Prejudice and Zombies,PG-13,108,5.8,2016,45
151,Hugo,PG,126,7.5,2011,83
152,Masters of the Universe,PG,106,5.4,1987,35
153,Castle in the Sky,PG,125,8.0,1986,78
154,Big Fish,PG-13,125,8.0,2003,58
155,The Secret Garden,G,101,7.3,1993,74
156,Tomb Raider,PG-13,119,6.3,2018,48
157,Night at the Museum,PG,108,6.4,2006,48
158,Hercules,G,93,7.3,1997,74
159,The Hobbit: The Desolation of Smaug,PG-13,161,7.8,2013,66
160,A Cure for Wellness,R,146,6.4,2016,47
161,Snow White and the Huntsman,PG-13,127,6.1,2012,57
162,The Little Mermaid,G,83,7.6,1989,88
163,Sorry to Bother You,R,112,6.9,2018,80
164,The Lego Movie 2: The Second Part,PG,107,6.6,2019,65
165,A Ghost Story,R,92,6.8,2017,84
166,Princess Mononoke,PG-13,134,8.4,1997,76
167,Hansel & Gretel: Witch Hunters,R,88,6.1,2013,23
168,Howl's Moving Castle,PG,119,8.2,2004,80
169,The Princess and the Frog,G,97,7.1,2009,73
170,Ralph Breaks the Internet,PG,112,7.1,2018,71
171,Hercules,PG-13,98,6.0,2014,47
